sample,batch,lab,fastqc_r1_gc,fastqc_r1_adapt,fastqc_r1_kmer,fastqc_r1_seqqual,fastqc_r1_len,fastqc_r1_tilequal,fastqc_r1_dup,fastqc_r1_over,fastqc_r1_n,fastqc_r1_basequal,fastqc_r1_basecont,fastqc_r2_gc,fastqc_r2_adapt,fastqc_r2_kmer,fastqc_r2_seqqual,fastqc_r2_len,fastqc_r2_tilequal,fastqc_r2_dup,fastqc_r2_over,fastqc_r2_n,fastqc_r2_basequal,fastqc_r2_basecont,input_r1,input_r2,mlen_r1,mlen_r2,goodpairs,alnreads,coverage_1q,coverage_median,coverage_3q,coverage_mean,bwaFF,bwaFR,bwaRF,bwaRR,bwadir,bwa_insert_mean,bwa_insert_min,bwa_insert_max,consensus_N,consensus_lower,match_gaps,match_simil,match_len,match_score,match_id,shorah_snv,shorah_filtered,shorah_majority,shorah_absmaj,
38007373--231222Seq1--A1--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,653028,653028,251.00,251.00,445342,799300.0,3005.0,4995.0,8014.0,6371.0853760492255,119,443629,142,95,FR,396,330,464,71,3,53,29684,29831,147784,29684,,,,,
38007374--231222Seq1--A10--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,813510,813510,251.00,251.00,562679,1022278.0,3737.0,6518.0,10476.0,8152.328294819918,122,561264,122,121,FR,398,335,461,73,1,71,29681,29829,147729,29681,,,,,
38007375--231222Seq1--A11--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,975321,975321,251.00,251.00,673671,1234586.0,4925.0,8238.0,12955.5,9833.187706919038,107,669035,121,113,FR,396,322,469,73,1,59,29693,29829,147861,29693,,,,,
38007376--231222Seq1--A12--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,1137226,1137226,251.00,251.00,775460,1433156.0,5857.5,9770.0,15135.0,11411.685081764372,174,767926,182,139,FR,394,313,474,72,2,59,29685,29829,147789,29685,,,,,
38007377--231222Seq1--A2--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,676621,676621,251.00,251.00,417833,321784.0,872.0,1800.0,3544.0,2561.831354713574,756,192434,1187,640,FR,400,327,467,1460,181,60,28301,29829,138093,28301,,,,,
38007378--231222Seq1--A3--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,640334,640334,251.00,251.00,394671,237738.0,538.0,1348.0,2696.0,1884.5200481557035,920,148892,1228,708,FR,401,320,474,3118,822,,,,,,,,,,
38007379--231222Seq1--A4--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,953644,953644,251.00,251.00,649763,1208610.0,4934.0,8130.0,12749.0,9626.618098518544,160,644720,139,146,FR,395,318,472,73,1,59,29692,29829,147852,29692,,,,,
38007380--231222Seq1--A5--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,854646,854646,251.00,251.00,576030,1074120.0,4240.0,7036.0,11221.0,8549.842958900445,108,571724,228,111,FR,397,331,464,73,1,59,29693,29829,147861,29693,,,,,
38007381--231222Seq1--A6--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,1021401,1021401,251.00,251.00,696524,1283476.0,5309.0,8518.0,13296.5,10214.335986355884,150,692032,251,120,FR,395,322,470,73,1,60,29689,29829,147813,29689,,,,,
38007382--231222Seq1--A7--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,510181,510181,251.00,251.00,327826,336022.0,410.5,1747.0,3585.0,2672.8001538307194,816,195368,608,631,FR,400,324,471,4891,193,53,24875,29210,115425,24875,,,,,
38007383--231222Seq1--A8--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,393519,393519,251.00,251.00,241987,189884.0,92.0,1236.0,2254.0,1508.3860816640472,789,115018,429,640,FR,402,335,461,6554,619,50,23237,29530,103327,23237,,,,,
38007384--231222Seq1--A9--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,736403,736403,251.00,251.00,490639,882510.0,3188.0,5724.0,9158.0,7015.954987793867,113,489199,130,108,FR,398,334,461,61,224,59,29703,29842,147899,29703,,,,,
38007385--231222Seq1--B1--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,739211,739211,251.00,251.00,497837,903552.0,3688.0,6139.0,9226.5,7188.220914289536,110,495741,184,108,FR,396,326,467,51,23,59,29714,29852,147958,29714,,,,,
38007386--231222Seq1--B10--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,794854,794854,251.00,251.00,536993,986976.0,3760.5,6413.0,10233.5,7855.982576998963,97,535040,153,99,FR,397,331,464,72,2,59,29691,29830,147839,29691,,,,,
38007387--231222Seq1--B11--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,655802,655802,251.00,251.00,446002,804806.0,2983.0,5089.0,8242.0,6408.791091194864,104,444877,105,89,FR,398,338,458,73,1,62,29688,29829,147804,29688,,,,,
38007388--231222Seq1--B12--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007389--231222Seq1--B2--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007390--231222Seq1--B3--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007391--231222Seq1--B4--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007392--231222Seq1--B5--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007393--231222Seq1--B6--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007394--231222Seq1--B7--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007395--231222Seq1--B8--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007396--231222Seq1--B9--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007397--231222Seq1--C1--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007398--231222Seq1--C10--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007399--231222Seq1--C11--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007400--231222Seq1--C12--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007401--231222Seq1--C2--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007402--231222Seq1--C3--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007403--231222Seq1--C4--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007404--231222Seq1--C5--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007405--231222Seq1--C6--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,PASS,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007406--231222Seq1--C7--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007407--231222Seq1--C8--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007408--231222Seq1--C9--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007409--231222Seq1--D1--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007410--231222Seq1--D10--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007411--231222Seq1--D11--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007412--231222Seq1--D12--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007413--231222Seq1--D2--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007414--231222Seq1--D3--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007415--231222Seq1--D4--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
